country_code_eurostat,country_code_iso,country_name,is_eu_member,is_aggregate,year,reuse_recycling_rate,reuse_recovery_rate,target_met_recycling,target_met_recovery,target_met,elv_count,elv_weight_tonnes,any_estimated,any_imputed,any_low_reliability,anomaly_type,anomaly_note
AT,AT,Austria,True,False,2006,80.0,86.0,False,False,False,87277,69329.0,False,False,False,,
AT,AT,Austria,True,False,2007,80.0,86.0,False,False,False,62042,50805.0,False,False,False,,
AT,AT,Austria,True,False,2008,83.7,96.1,False,True,False,63975,52202.0,False,False,False,,
AT,AT,Austria,True,False,2009,82.9,96.1,False,True,False,87364,74211.0,False,False,False,,
AT,AT,Austria,True,False,2010,84.2,96.5,False,True,False,82144,67997.0,False,False,False,,
AT,AT,Austria,True,False,2011,82.8,97.6,False,True,False,80004,67384.0,False,False,False,,
AT,AT,Austria,True,False,2012,83.4,94.2,False,False,False,64809,56180.0,False,False,False,,
AT,AT,Austria,True,False,2013,85.0,96.7,True,True,True,73993,65475.0,False,False,False,,
AT,AT,Austria,True,False,2014,85.8,96.1,True,True,True,59904,53310.0,False,False,False,,
AT,AT,Austria,True,False,2015,86.9,96.9,True,True,True,47926,43934.0,False,False,False,,
AT,AT,Austria,True,False,2016,87.2,96.9,True,True,True,48077,45338.0,False,False,False,,
AT,AT,Austria,True,False,2017,86.6,97.9,True,True,True,58462,57065.0,False,False,False,,
AT,AT,Austria,True,False,2018,86.2,97.8,True,True,True,60272,61149.0,False,False,False,,
AT,AT,Austria,True,False,2019,87.3,97.8,True,True,True,54424,53576.0,False,False,False,,
AT,AT,Austria,True,False,2020,86.1,97.4,True,True,True,50944,50940.0,False,False,False,,
AT,AT,Austria,True,False,2021,85.8,97.3,True,True,True,57722,59293.0,False,False,False,,
AT,AT,Austria,True,False,2022,85.9,97.4,True,True,True,38275,39623.0,False,False,False,,
AT,AT,Austria,True,False,2023,87.4,97.1,True,True,True,27949,28703.0,False,False,False,,
BE,BE,Belgium,True,False,2006,87.7,90.0,True,False,False,131043,131030.0,False,False,False,,
BE,BE,Belgium,True,False,2007,87.9,90.1,True,False,False,127949,128615.0,False,False,False,,
BE,BE,Belgium,True,False,2008,88.0,90.2,True,False,False,141521,144121.0,False,False,False,,
BE,BE,Belgium,True,False,2009,88.4,90.6,True,False,False,140993,144726.0,False,False,False,,
BE,BE,Belgium,True,False,2010,89.0,91.2,True,False,False,170562,176446.0,False,False,False,,
BE,BE,Belgium,True,False,2011,88.2,90.6,True,False,False,165016,171747.0,False,False,False,,
BE,BE,Belgium,True,False,2012,88.7,93.0,True,False,False,160615,171466.0,False,False,False,,
BE,BE,Belgium,True,False,2013,88.2,93.0,True,False,False,134506,145652.0,False,False,False,,
BE,BE,Belgium,True,False,2014,89.2,94.2,True,False,False,126835,138703.0,False,False,False,,
BE,BE,Belgium,True,False,2015,91.3,96.7,True,True,True,107425,119054.0,False,False,False,,
BE,BE,Belgium,True,False,2016,92.1,96.4,True,True,True,106458,119188.0,False,False,False,,
BE,BE,Belgium,True,False,2017,93.2,97.3,True,True,True,120896,148459.0,False,False,False,,
BE,BE,Belgium,True,False,2018,93.5,97.3,True,True,True,142852,177439.0,False,False,False,,
BE,BE,Belgium,True,False,2019,92.9,97.1,True,True,True,134629,168810.0,False,False,False,,
BE,BE,Belgium,True,False,2020,93.0,97.3,True,True,True,110161,138468.0,False,False,False,,
BE,BE,Belgium,True,False,2021,93.5,97.3,True,True,True,103659,129979.0,False,False,False,,
BE,BE,Belgium,True,False,2022,93.5,97.7,True,True,True,81350,102334.0,False,False,False,,
BE,BE,Belgium,True,False,2023,93.5,97.7,True,True,True,63592,80190.0,False,False,False,,
BG,BG,Bulgaria,True,False,2006,82.4,87.2,False,False,False,45127,45127.0,False,False,False,,
BG,BG,Bulgaria,True,False,2007,89.5,92.7,True,False,False,23433,23433.0,False,False,False,,
BG,BG,Bulgaria,True,False,2008,81.0,86.7,False,False,False,38600,38600.0,False,False,False,,
BG,BG,Bulgaria,True,False,2009,82.7,89.2,False,False,False,55330,63027.0,False,False,False,,
BG,BG,Bulgaria,True,False,2010,88.9,89.2,True,False,False,69287,74422.0,False,False,False,,
BG,BG,Bulgaria,True,False,2011,90.0,92.0,True,False,False,62937,65428.0,False,False,False,,
BG,BG,Bulgaria,True,False,2012,89.5,91.3,True,False,False,57532,59191.0,False,False,False,,
BG,BG,Bulgaria,True,False,2013,93.2,94.1,True,False,False,61673,62723.0,False,False,False,,
BG,BG,Bulgaria,True,False,2014,94.1,95.0,True,True,True,80862,82258.0,False,False,False,,
BG,BG,Bulgaria,True,False,2015,94.4,95.1,True,True,True,85946,88066.0,False,False,False,,
BG,BG,Bulgaria,True,False,2016,94.6,95.6,True,True,True,92706,92111.0,False,False,False,,
BG,BG,Bulgaria,True,False,2017,97.6,98.8,True,True,True,102442,104457.0,False,False,False,,
BG,BG,Bulgaria,True,False,2018,94.8,95.8,True,True,True,99835,103032.0,False,False,False,,
BG,BG,Bulgaria,True,False,2019,95.8,96.5,True,True,True,85670,88372.0,False,False,False,,
BG,BG,Bulgaria,True,False,2020,96.1,96.6,True,True,True,68635,73521.0,False,False,False,,
BG,BG,Bulgaria,True,False,2021,95.6,96.0,True,True,True,87362,90127.0,False,False,False,,
BG,BG,Bulgaria,True,False,2022,94.8,95.1,True,True,True,95084,102324.0,False,False,False,,
BG,BG,Bulgaria,True,False,2023,94.6,95.1,True,True,True,105268,106718.0,False,False,False,,
CY,CY,Cyprus,True,False,2006,85.4,86.6,True,False,False,1032,918.0,False,False,False,,
CY,CY,Cyprus,True,False,2007,83.7,83.4,False,False,False,2136,1901.0,False,False,False,,
CY,CY,Cyprus,True,False,2008,78.3,79.8,False,False,False,14273,12703.0,False,False,False,,
CY,CY,Cyprus,True,False,2009,87.1,92.9,True,False,False,17303,15400.0,False,False,False,,
CY,CY,Cyprus,True,False,2010,81.1,86.9,False,False,False,13219,11764.0,False,False,False,,
CY,CY,Cyprus,True,False,2011,84.0,86.6,False,False,False,17145,15259.0,False,False,False,,
CY,CY,Cyprus,True,False,2012,84.7,86.9,False,False,False,17547,15617.0,False,False,False,,
CY,CY,Cyprus,True,False,2013,84.3,86.6,False,False,False,13212,11759.0,False,False,False,,
CY,CY,Cyprus,True,False,2014,87.7,90.2,True,False,False,11160,10468.0,False,False,False,,
CY,CY,Cyprus,True,False,2015,89.1,90.7,True,False,False,8293,8152.0,False,False,False,,
CY,CY,Cyprus,True,False,2016,90.3,93.2,True,False,False,5151,5094.0,False,False,False,,
CY,CY,Cyprus,True,False,2017,89.2,91.9,True,False,False,5453,5159.0,False,False,False,,
CY,CY,Cyprus,True,False,2018,89.8,96.8,True,True,True,7523,7267.0,False,False,False,,
CY,CY,Cyprus,True,False,2019,88.7,95.8,True,True,True,10170,9926.0,False,False,False,,
CY,CY,Cyprus,True,False,2020,91.0,97.2,True,True,True,9367,9030.0,False,False,False,,
CY,CY,Cyprus,True,False,2021,90.3,98.5,True,True,True,9851,9595.0,False,False,False,,
CY,CY,Cyprus,True,False,2022,90.6,99.1,True,True,True,7830,7720.0,False,False,False,,
CY,CY,Cyprus,True,False,2023,89.8,99.2,True,True,True,7820,7914.0,False,False,False,,
CZ,CZ,Czechia,True,False,2006,79.0,85.1,False,False,False,56582,48094.0,False,False,False,,
CZ,CZ,Czechia,True,False,2007,79.0,85.1,False,False,False,72941,62000.0,False,False,False,,
CZ,CZ,Czechia,True,False,2008,80.0,86.0,False,False,False,147259,132533.0,False,False,False,,
CZ,CZ,Czechia,True,False,2009,80.3,86.3,False,False,False,155425,147217.0,False,False,False,,
CZ,CZ,Czechia,True,False,2010,80.3,86.3,False,False,False,145447,135479.0,False,False,False,,
CZ,CZ,Czechia,True,False,2011,80.3,86.3,False,False,False,132452,118147.0,False,False,False,,
CZ,CZ,Czechia,True,False,2012,80.3,86.3,False,False,False,125587,114800.0,False,False,False,,
CZ,CZ,Czechia,True,False,2013,80.3,86.3,False,False,False,121838,114833.0,False,False,False,,
CZ,CZ,Czechia,True,False,2014,80.3,86.3,False,False,False,131987,122450.0,False,False,False,,
CZ,CZ,Czechia,True,False,2015,90.2,95.7,True,True,True,139440,131392.0,False,False,False,,
CZ,CZ,Czechia,True,False,2016,90.3,95.4,True,True,True,145928,139881.0,False,False,False,,
CZ,CZ,Czechia,True,False,2017,91.9,95.6,True,True,True,154306,160587.0,False,False,False,,
CZ,CZ,Czechia,True,False,2018,95.5,99.3,True,True,True,169715,171412.0,False,False,False,,
CZ,CZ,Czechia,True,False,2019,93.3,97.3,True,True,True,178683,185830.0,False,False,False,,
CZ,CZ,Czechia,True,False,2020,97.3,101.9,True,True,True,167814,177885.0,False,False,False,flagged_undiagnosed,Rate exceeds 100% or shows a large year-over-year swing; not independently investigated.
CZ,CZ,Czechia,True,False,2021,102.2,106.1,True,True,True,174638,188609.0,False,False,False,flagged_undiagnosed,Rate exceeds 100% or shows a large year-over-year swing; not independently investigated.
CZ,CZ,Czechia,True,False,2022,117.2,121.8,True,True,True,160427,176470.0,False,False,False,flagged_undiagnosed,Rate exceeds 100% or shows a large year-over-year swing; not independently investigated.
CZ,CZ,Czechia,True,False,2023,88.8,94.2,True,False,False,156593,175384.0,False,False,False,flagged_undiagnosed,Rate exceeds 100% or shows a large year-over-year swing; not independently investigated.
DE,DE,Germany,True,False,2006,86.8,89.5,True,False,False,499756,449280.0,False,False,False,,
DE,DE,Germany,True,False,2007,88.1,90.4,True,False,False,456436,420424.0,False,False,False,,
DE,DE,Germany,True,False,2008,89.2,92.9,True,False,False,417534,387693.0,False,False,False,,
DE,DE,Germany,True,False,2009,82.9,86.7,False,False,False,1778593,1596831.0,False,False,False,,
DE,DE,Germany,True,False,2010,95.5,106.2,True,True,True,500193,516128.0,False,False,False,flagged_undiagnosed,Rate exceeds 100% or shows a large year-over-year swing; not independently investigated.
DE,DE,Germany,True,False,2011,93.4,108.2,True,True,True,466160,468459.0,False,False,False,flagged_undiagnosed,Rate exceeds 100% or shows a large year-over-year swing; not independently investigated.
DE,DE,Germany,True,False,2012,92.3,106.3,True,True,True,476601,475719.0,False,False,False,flagged_undiagnosed,Rate exceeds 100% or shows a large year-over-year swing; not independently investigated.
DE,DE,Germany,True,False,2013,89.8,103.8,True,True,True,500322,490771.0,False,False,False,flagged_undiagnosed,Rate exceeds 100% or shows a large year-over-year swing; not independently investigated.
DE,DE,Germany,True,False,2014,89.5,101.4,True,True,True,512163,502656.0,False,False,False,flagged_undiagnosed,Rate exceeds 100% or shows a large year-over-year swing; not independently investigated.
DE,DE,Germany,True,False,2015,87.7,95.8,True,True,True,473386,474379.0,False,False,False,,
DE,DE,Germany,True,False,2016,89.3,98.0,True,True,True,412801,420113.0,False,False,False,,
DE,DE,Germany,True,False,2017,89.5,98.4,True,True,True,506531,530311.0,False,False,False,,
DE,DE,Germany,True,False,2018,87.1,95.7,True,True,True,560455,595761.0,False,False,False,,
DE,DE,Germany,True,False,2019,86.9,93.6,True,False,False,461266,501658.0,False,False,False,,
DE,DE,Germany,True,False,2020,86.8,94.0,True,False,False,406044,456586.0,False,False,False,,
DE,DE,Germany,True,False,2021,90.0,97.5,True,True,True,396773,444950.0,False,False,False,,
DE,DE,Germany,True,False,2022,86.4,93.7,True,False,False,292877,327682.0,False,False,False,,
DE,DE,Germany,True,False,2023,86.1,93.2,True,False,False,250749,283549.0,False,False,False,,
DK,DK,Denmark,True,False,2006,80.0,80.0,False,False,False,102202,99354.0,False,False,False,,
DK,DK,Denmark,True,False,2007,81.0,81.2,False,False,False,99391,98249.0,False,False,False,,
DK,DK,Denmark,True,False,2008,82.7,82.9,False,False,False,101042,101173.0,False,False,False,,
DK,DK,Denmark,True,False,2009,82.0,82.3,False,False,False,96830,99515.0,False,False,False,,
DK,DK,Denmark,True,False,2010,90.5,90.7,True,False,False,100480,104866.0,False,False,False,,
DK,DK,Denmark,True,False,2011,92.8,92.9,True,False,False,93487,100816.0,False,False,False,,
DK,DK,Denmark,True,False,2012,92.4,92.6,True,False,False,106504,114392.0,False,False,False,,
DK,DK,Denmark,True,False,2013,86.6,86.7,True,False,False,125650,128869.0,True,False,False,,
DK,DK,Denmark,True,False,2014,86.0,86.1,True,False,False,104413,118597.0,False,False,False,,
DK,DK,Denmark,True,False,2015,91.2,97.6,True,True,True,98929,109762.0,False,False,False,,
DK,DK,Denmark,True,False,2016,88.8,97.1,True,True,True,89039,100957.0,False,False,False,,
DK,DK,Denmark,True,False,2017,91.5,99.6,True,True,True,117124,134331.0,False,False,False,,
DK,DK,Denmark,True,False,2018,89.9,98.2,True,True,True,117519,136717.0,False,False,False,,
DK,DK,Denmark,True,False,2019,94.6,102.6,True,True,True,119551,143357.0,False,False,False,documented,"Reuse+recovery rate reached 102.6% (recycling rate stayed normal at 94.6%). Cause: the same backlog-clearing mechanism as Poland 2019-2020, at much smaller scale."
DK,DK,Denmark,True,False,2020,94.8,102.3,True,True,True,95084,113150.0,False,False,False,documented,"Reuse+recovery rate reached 102.3% (recycling rate stayed normal at 94.8%), a continuation of 2019's backlog-clearing pattern."
DK,DK,Denmark,True,False,2021,82.5,93.9,False,False,False,104515,129055.0,False,False,False,,
DK,DK,Denmark,True,False,2022,85.5,94.6,True,False,False,83305,101839.0,False,False,False,,
DK,DK,Denmark,True,False,2023,83.2,93.9,False,False,False,74369,92248.0,False,False,False,,
EE,EE,Estonia,True,False,2006,82.5,82.5,False,False,False,11035,10637.0,False,False,False,,
EE,EE,Estonia,True,False,2007,82.2,82.2,False,False,False,12664,12334.0,False,False,False,,
EE,EE,Estonia,True,False,2008,92.4,92.7,True,False,False,13843,13716.0,False,True,False,,
EE,EE,Estonia,True,False,2009,87.2,87.4,True,False,False,7528,7712.0,False,False,False,,
EE,EE,Estonia,True,False,2010,77.3,78.4,False,False,False,7268,7679.0,False,False,False,,
EE,EE,Estonia,True,False,2011,76.1,79.0,False,False,False,11413,12123.0,False,False,False,,
EE,EE,Estonia,True,False,2012,80.9,85.1,False,False,False,12835,14056.0,False,False,False,,
EE,EE,Estonia,True,False,2013,77.7,86.4,False,False,False,14712,16391.0,False,False,False,,
EE,EE,Estonia,True,False,2014,87.0,88.4,True,False,False,14720,16617.0,False,False,False,,
EE,EE,Estonia,True,False,2015,86.0,87.0,True,False,False,12884,14857.0,False,False,False,,
EE,EE,Estonia,True,False,2016,85.8,89.8,True,False,False,11184,14113.0,False,False,False,,
EE,EE,Estonia,True,False,2017,85.9,89.9,True,False,False,16236,19539.0,False,False,False,,
EE,EE,Estonia,True,False,2018,87.1,91.2,True,False,False,18147,22015.0,False,False,False,,
EE,EE,Estonia,True,False,2019,87.6,91.9,True,False,False,15293,18876.0,False,False,False,,
EE,EE,Estonia,True,False,2020,87.2,91.3,True,False,False,15501,19427.0,False,False,False,,
EE,EE,Estonia,True,False,2021,85.5,92.2,True,False,False,20403,25865.0,False,False,False,,
EE,EE,Estonia,True,False,2022,85.3,91.5,True,False,False,14481,18828.0,False,False,False,,
EE,EE,Estonia,True,False,2023,86.0,93.4,True,False,False,16499,21594.0,False,False,False,,
EL,GR,Greece,True,False,2006,82.3,82.3,False,False,False,29689,23952.0,False,False,False,,
EL,GR,Greece,True,False,2007,84.1,84.1,False,False,False,47414,41733.0,False,False,False,,
EL,GR,Greece,True,False,2008,85.7,85.7,True,False,False,55201,51828.0,False,False,False,,
EL,GR,Greece,True,False,2009,86.5,87.4,True,False,False,115670,115849.0,False,False,False,,
EL,GR,Greece,True,False,2010,84.5,86.5,False,False,False,95162,92158.0,False,False,False,,
EL,GR,Greece,True,False,2011,85.2,87.7,True,False,False,112454,104590.0,False,False,False,,
EL,GR,Greece,True,False,2012,82.8,90.3,False,False,False,84456,78433.0,False,False,False,,
EL,GR,Greece,True,False,2013,88.8,91.5,True,False,False,86205,81619.0,False,False,False,,
EL,GR,Greece,True,False,2014,80.4,85.5,False,False,False,82863,79668.0,True,False,False,,
EL,GR,Greece,True,False,2015,64.5,68.9,False,False,False,87050,84046.0,False,False,False,documented,"Reuse+recycling (64.5%) and reuse+recovery (68.9%) rates dropped sharply. Cause, per Eurostat's End-of-life vehicle statistics Statistics Explained article: low scrap-metal prices caused temporary stockpiling of material at dismantling facility sites rather than processing it -- the same stockpiling-for-favorable-pricing mechanism as Malta's 2023 anomaly, here triggered by metal prices rather than export timing."
EL,GR,Greece,True,False,2016,100.0,108.0,True,True,True,46573,45570.0,True,False,False,flagged_undiagnosed,Rate exceeds 100% or shows a large year-over-year swing; not independently investigated.
EL,GR,Greece,True,False,2017,91.9,99.5,True,True,True,39761,38654.0,False,False,False,,
EL,GR,Greece,True,False,2018,98.7,108.3,True,True,True,47141,45971.0,False,False,False,flagged_undiagnosed,Rate exceeds 100% or shows a large year-over-year swing; not independently investigated.
